Slide #,Mount Date,Subject,Slide Mount Notation,Scanned
1471,Mar-75,snow & ice scenes in garden,,X
1472,Mar-75,snow & ice scenes in garden,,X
1473,Mar-75,snow & ice scenes in garden,,X
1474,Mar-75,snow & ice scenes in garden,,X
1475,Mar-75,snow & ice scenes in garden,,X
1476,Mar-75,snow & ice scenes in garden,,X
1477,Mar-75,snow & ice scenes in garden,,X
1478,Mar-75,snow & ice scenes in garden,,X
1479,Mar-75,snow & ice scenes in garden,,X
1480,Mar-75,snow & ice scenes in garden,,X
1481,Mar-75,snow & ice scenes in garden,,X
1482,Mar-75,snow & ice scenes in garden,,X
1483,Mar-75,snow & ice scenes in garden,,X
1484,Mar-75,snow & ice scenes in garden,,X
1485,Mar-75,snow & ice scenes in garden,,X
1486,Mar-75,snow & ice scenes in garden,,X
1487,Feb-75,,,X
1488,Mar-75,,,X
1489,Mar-75,,,X
1490,Mar-75,,,X
1491,Mar-75,,,X
1492,Mar-75,,,X
1493,Mar-75,,,X
1494,Mar-75,,,X
1495,Mar-75,,,X
1496,Mar-75,,,X
1497,Apr-75,,,X
1498,Apr-75,,,X
1499,Apr-75,,,X
1500,Apr-75,,,X
1501,Apr-75,,,X
1502,Apr-75,,,X
1503,Apr-75,,,X
1504,Apr-75,,,X
1505,Apr-75,,,X
1506,Apr-75,,,X
1507,Apr-75,,,X
1508,Apr-75,,,X
1509,Apr-75,,,X
1510,Apr-75,,,X
1511,Apr-75,,,X
1512,,,,X
1513,Apr-75,,,X
1514,Apr-75,,,X
1515,Apr-75,,,X
1516,Apr-75,,,X
1517,Apr-75,"tea garden gate, guardian stone",,X
1518,Apr-75,,,X
1519,Apr-75,tea garden well,,X
1520,,,,X
1521,,,,X
1522,,,,X
1523,,"tea garden well, machiai, gate",,X
1524,,,,X
1525,,tea garden machiai,,X
1526,,tea garden machiai,,X
1527,,tea garden gate,,X
1528,,,,X
1529,,,,X
1530,,,,X
1531,Apr-75,,,X
1532,Jun-75,,,X
1533,Jun-75,,,X
1534,Jun-75,,,X
1535,Jun-75,,,X
1536,Jun-75,,,X
1537,Jun-75,,,X
1538,,,,X
1539,Jun-75,,,X
1540,Jun-75,,,X
1541,Jun-75,,,X
1542,Jun-75,,,X
1543,Jun-75,,Bill Robinson planting lotus,X
1544,Jun-75,,,X
1545,Jun-75,,,X
1546,Jun-75,,,X
1547,Jun-75,,,X
1548,Jun-75,,,X
1549,Jun-75,,,X
1550,Jun-75,,Vulcan Rhodies,X
1551,Jun-75,,,X
1552,Jun-75,,,X
1553,Jul-75,,Macrantha  azaleas,X
1554,Jul-75,,Macrantha  azaleas,X
1555,Jul-75,,,X
1556,Jul-75,,,X
1557,Jul-75,,,X
1558,Jul-75,,,X
1559,Jul-75,,,X
1560,Jul-75,,,X
1561,Jul-75,,,X
1562,Jul-75,,,X
1563,Jul-75,,,X
1564,Jul-75,,,X
1565,Jul-75,,,X
1566,Jul-75,,,X
1567,Jul-75,,,X
1568,Jul-75,,,X
1569,Jul-75,,,X
1570,Jul-75,,,X
1571,Jul-75,,,X
1572,Jul-75,,,X
1573,Jul-75,,,X
1574,Jul-75,,,X
1575,Jul-75,,,X
1576,Jul-75,,,X
1577,Jul-75,,,X
1578,Jul-75,,,X
1579,Jul-75,,,X
