Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
5359,Jan-86,,,X
5360,Jan-86,,,X
5361,Jan-86,,,X
5362,Jan-86,,,X
5363,Jan-86,,,X
5364,Jan-86,,,X
5365,Jan-86,,,X
5366,Jan-86,,,X
5367,Jan-86,,,X
5368,Jan-86,,,X
5369,Jan-86,,,X
5370,Jan-86,,,X
5371,Jan-86,,,X
5372,Jan-86,,,X
5373,Jan-86,,,X
5374,Jan-86,,,X
5375,Jan-86,,,X
5376,Jan-86,,,X
5377,Jan-86,,,X
5378,Jan-86,,,X
5379,Jan-86,,,X
5380,Jan-86,,Strolling pond garden,X
5381,,,cover flyer 1992  Best one postcard,X
5382,Jan-85,,,X
5383,Jan-85,,,X
5384,Jan-86,,,X
5385,Jan-86,,,X
5386,Jan-86,,,X
5387,Jan-86,,,X
5388,Jan-86,,,X
5389,Jan-86,,,X
5390,Jan-86,,,X
5391,Jan-86,,,X
5392,Jan-86,,,X
5393,Jan-86,,,X
5394,Jan-86,,,X
5395,Jan-86,,,X
5396,Jan-86,,,X
5397,Jan-86,,,X
5398,Jan-86,,,X
5399,Jan-86,,,X
5400,Jan-86,,,X
5401,Jan-86,,,X
5402,Jan-86,,,X
5403,Jan-86,,,X
5404,Jan-86,,,X
5405,Jan-86,,,X
5406,Jan-86,,,X
5407,Jan-86,,,X
5408,Jan-86,,,X
5409,Jan-86,,,X
5410,Jan-86,,,X
5411,Jan-86,,Thanksgiving time,X
5412,Jan-86,,,X
5413,Jan-86,,,X
5414,Jan-86,,,X
5415,Jan-86,,,X
5416,Jan-86,,,X
5417,Jan-86,,,X
5418,Jan-86,,,X
5419,Jan-86,,,X
5420,Jan-86,,,X
5421,Jan-86,,,X
5422,Jan-86,,,X
5423,Jan-86,,,X
5424,Jan-86,,,X
5425,Jan-86,,,X
5426,Jan-86,,,X
5427,Jan-86,,,X
5428,Jan-86,,,X
5429,Jan-86,,,X
5430,Jan-86,,,X
5431,Jan-86,,,X
5432,Jan-86,,,X
5433,Jan-86,,,X
5434,Jan-86,,,X
5435,Jan-86,,,X
5436,Jan-86,,,X
5437,Jan-86,,,X
5438,Jan-86,,,X
5439,Jan-86,,,X
5440,Jan-86,,,X
5441,Jan-86,,,X
5442,Jan-86,,,X
5443,Jan-86,,,X
5444,Jan-86,,,X
5445,Jan-86,,,X
5446,Jan-86,,,X
5447,Jan-86,,,X
5448,Jan-86,,,X
5449,Jan-86,,,X
5450,Jan-86,,,X
5451,Jan-86,,,X
5452,Jan-86,,,X
5453,Jan-86,,,X
5454,Jan-86,,,X
5455,Jan-86,,,X
5456,Jan-86,,,X
5457,Jan-86,,,X
5458,Jan-86,,,X
5459,Jan-86,,"Dec., 1985",X
5460,Jan-86,,Jan. 1986,X
5461,Apr-86,,,X
5462,Apr-86,,,X
5463,Apr-86,,,X
5464,Apr-86,,,X
5465,Apr-86,,,X
5466,Apr-86,,,X
5467,Apr-86,,,X
5468,Apr-86,,,X
5469,Apr-86,,,X
5470,Apr-86,,,X
5471,Apr-86,,,X
5472,Apr-86,,,X
5473,Apr-86,,,X
5474,Mar-86,,,X
5475,Mar-86,,,X
5476,Mar-86,,,X
5477,Mar-86,,,X
5478,Mar-86,,,X
5479,Mar-86,,,X
5480,Mar-86,,,X
5481,Mar-86,,,X
5482,Mar-86,,,X
5483,Mar-86,,,X
5484,Mar-86,,,X
5485,Mar-86,,,X
5486,Mar-86,,,X
5487,Mar-86,,,X
5488,Mar-86,,,X
5489,Mar-86,,,X
5490,Mar-86,,,X
5491,Mar-86,,postcard,X
5492,Mar-86,,,X
5493,Mar-86,,,X
5494,Mar-86,,,X
5495,Mar-86,,,X
5496,Mar-86,,,X
5497,Mar-86,,,X
5498,Mar-86,,,X
5499,Mar-86,,,X
5500,Mar-86,,,X
5501,Mar-86,,,X
5502,Mar-86,,,X
5503,Mar-86,,,X
5504,Mar-86,,,X
5505,Mar-86,,,X
5506,Mar-86,,,X
5507,Mar-86,,Morison,X
5508,Mar-86,,,X
5509,Mar-86,,,X
5510,Mar-86,,,X
5511,Mar-86,,,X
5512,Apr-86,,,X
5513,Apr-86,,,X
5514,Apr-86,,,X
5515,Apr-86,,,X
5516,Apr-86,,,X
5517,Apr-86,,,X
5518,Apr-86,,,X
5519,Apr-86,,,X
5520,Apr-86,,,X
5521,Apr-86,,,X
5522,Apr-86,,,X
5523,Apr-86,,,X
5524,Apr-86,,,X
5525,Apr-86,,,X
5526,Apr-86,,,X
5527,Apr-86,,,X
5528,Apr-86,,upper pond,X
5529,Apr-86,,,X
5530,Apr-86,,,X
5531,Apr-86,,,X
5532,Apr-86,,,X
5533,Apr-86,,,X
5534,Apr-86,,,X
5535,Apr-86,,,X
5536,Apr-86,,,X
5537,Apr-86,,,X
5538,Apr-86,,,X
5539,Apr-86,,,X
5540,Apr-86,,,X
5541,Apr-86,,,X
5542,Apr-86,,,X
5543,Apr-86,,,X
5544,Apr-86,,,X
5545,Apr-86,,,X
5546,Apr-86,,,X
5547,Apr-86,,,X
5548,Apr-86,,,X
5549,Apr-86,,,X
5550,Apr-86,,,X
5551,Apr-86,,,X
5552,Apr-86,,,X
5553,Apr-86,,,X
5554,Apr-86,,,X
5555,Apr-86,,,X
5556,Apr-86,,,X
5557,May-86,,,X
5558,May-86,,,X
5559,May-86,,,X
5560,May-86,,,X
5561,May-86,,,X
5562,May-86,,,X
5563,May-86,,,X
5564,May-86,,,X
5565,May-86,,,X
5566,May-86,,,X
5567,May-86,,,X
5568,May-86,,,X
5569,May-86,,just a tourist,X
5570,May-86,,,X
5571,May-86,,,X
5572,May-86,,,X
5573,May-86,,,X
5574,May-86,,,X
5575,May-86,,,X
5576,May-86,,,X
5577,May-86,,,X
5578,May-86,,,X
5579,May-86,,,X
5580,May-86,,,X
5581,May-86,,,X
5582,May-86,,,X
5583,May-86,,,X
5584,May-86,,,X
5585,May-86,,,X
5586,May-86,,,X
5587,May-86,,,X
5588,May-86,,,X
5589,May-86,,,X
5590,May-86,,,X
5591,May-86,,,X
5592,May-86,,,X
5593,May-86,,,X
5594,May-86,,,X
5595,May-86,,,X
5596,May-86,,,X
5597,May-86,,,X
5598,May-86,,,X
5599,Aug-86,,Nipon Maru,X
5600,Aug-86,,,X
5601,Sep-89,,,X
5602,Sep-89,,,X
5603,,,,X
5604,Sep-89,,,X
5605,Sep-89,,,X
5606,Sep-89,garden ,"Marshall House, Vancouver, WA",X
5607,Sep-89,"Marshall House, Vancouver, WA",,X
5608,Sep-89,"Marshall House, Vancouver, WA",,X
5609,Sep-89,"Marshall House, Vancouver, WA",,X
5610,Sep-89,"Marshall House, Vancouver, WA",,X
5611,Sep-89,"Marshall House, Vancouver, WA",,X
5612,Sep-89,,,X
5613,Sep-89,,,X
5614,Sep-89,,,X
5615,Sep-89,,,X
5616,Sep-89,,,X
5617,Sep-89,,,X
5618,Sep-89,,,X
5619,Sep-89,,,X
5620,Sep-89,,,X
5621,Sep-89,,,X
5622,Sep-89,,,X
5623,Sep-89,,,X
5624,Sep-89,,,X
5625,Sep-89,,,X
5626,Sep-89,,,X
5627,Sep-89,,,X
5628,Sep-89,,,X
5629,Sep-89,,,X
5630,Sep-89,,,X
5631,Sep-89,,,X
5632,Sep-89,,,X
5633,Sep-89,,,X
5634,Sep-89,,,X
5635,Sep-89,,,X
5636,Sep-89,,,X
5637,Sep-89,,,X
5638,Sep-89,,,X
5639,Mar-87,,,X
5640,Mar-87,,f11    9 sec.,X
5641,Mar-87,,,X
5642,Mar-87,,#1 of city,X
5643,Mar-87,,,X
5644,Mar-87,,#3 of nine,X
5645,Mar-87,,,X
5646,Mar-87,,,X
5647,Mar-87,,,X
5648,Mar-87,,,X
5649,Mar-87,,,X
5650,Mar-87,,,X
5651,Mar-87,,,X
5652,Mar-87,,,X
5653,Mar-87,,,X
5654,Mar-87,,,X
5655,Mar-87,,,X
5656,Mar-87,,,X
5657,Mar-87,,,X
5658,Mar-87,,,X
5659,Mar-87,,,X
5660,Mar-87,,,X
5661,Mar-87,,,X
5662,Mar-87,,,X
5663,Mar-87,,,X
5664,Mar-87,,,X
5665,Mar-87,,,X
5666,Mar-87,,,X
5667,Mar-87,,,X
5668,Mar-87,,,X
5669,Mar-87,,,X
5670,Mar-87,,,X
5671,Mar-87,,,X
5672,Mar-87,,,X
5673,Mar-87,,,X
5674,Mar-87,,,X
5675,Mar-87,,,X
5676,Mar-87,,,X
5677,Mar-87,,,X
5678,Mar-87,,,X
5679,Mar-87,,,X
5680,Mar-87,,,X
5681,Mar-87,,,X
5682,Mar-87,,,X
5683,Mar-87,,,X
5684,Mar-87,,,X
5685,Mar-87,,,X
5686,Mar-87,,,X
5687,Mar-87,,,X
5688,Mar-87,,,X
5689,Mar-87,,,X
5690,Mar-87,,,X
5691,Mar-87,,,X
5692,Mar-87,,,X
5693,Mar-87,,,X
5694,Mar-87,,,X
5695,Mar-87,,,X
5696,Mar-87,,,X
5697,Mar-87,,,X
5698,Mar-87,,,X
5699,Mar-87,,city,X
5700,Mar-87,,city fog,X
5701,Mar-87,,,X
5702,Mar-87,,,X
5703,Mar-87,,,X
5704,Mar-87,,front edge       big doors,X
5705,Mar-87,,,X
5706,Mar-87,,,X
5707,Mar-87,,,X
5708,Mar-87,,,X
5709,Mar-87,,,X
5710,Mar-87,,,X
5711,Mar-87,,fog,X
