time,cloudCover,windBearing
1484978400,0.73,186
1484982000,0.31,110
1484985600,0.31,151
1484996400,0.31,127
1485000000,1,77
1485021600,1,153
1485028800,0.2,190
1485032400,0.31,309
1485036000,0.25,321
1485039600,0.13,324
1485043200,0.75,293
1485064800,1,131
1485075600,0.31,127
1485079200,0.1,111
1485082800,0.09,69
1485086400,0,64
1485090000,0.03,3
1485093600,0.13,47
1485097200,0.13,56
1485100800,0.31,218
1485108000,1,157
1485111600,0.31,141
1485115200,0.31,126
1485118800,0.21,138
1485122400,0.1,139
1485126000,0.11,144
1485129600,0.2,129
1485133200,0.19,123
1485136800,0.16,95
1485140400,0.11,103
1485144000,0.31,114
1485147600,0.31,96
1485151200,0.45,56
1485154800,0.31,76
1485158400,0.21,49
1485162000,0.24,39
1485165600,0.17,121
1485169200,0,170
1485172800,0.65,71
1485176400,0,80
1485180000,0.31,99
1485183600,0.25,70
1485187200,0.18,60
1485190800,0.13,3
1485194400,0.15,8
1485198000,0.06,356
1485201600,0,359
1485205200,0.06,359
1485208800,0.17,349
1485212400,0.15,351
1485216000,0.15,349
1485219600,0.12,343
1485223200,0.05,339
1485226800,0,34
1485230400,0.04,49
1485234000,0.08,90
1485237600,0.06,210
1485241200,0.17,148
1485244800,0.2,119
1485248400,0.25,163
1485252000,0.31,145
1485255600,0.24,132
1485259200,0.26,128
1485262800,0.27,136
1485266400,0.31,146
1485270000,0.31,125
1485273600,0.31,138
1485280800,1,145
1485298800,0.18,247
1485302400,0.22,290
1485306000,0.31,281
1485313200,0.31,268
1485324000,1,142
1485331200,0.31,115
1485334800,0,150
1485338400,0.31,311
1485342000,0.31,136
1485345600,0.4,149
1485352800,0,124
1485367200,1,150
1485388800,1,140
1485392400,0.31,137
1485410400,1,106
1485432000,1,116
1485439200,0.31,128
1485442800,0.09,143
1485453600,0.68,98
1485457200,0.31,194
1485460800,0.31,296
1485464400,0.31,51
1485468000,0.31,190
1485471600,0.31,202
1485475200,1,169
1485478800,0,170
1485482400,0,138
1485486000,0,120
1485496800,0.73,115
1485500400,0.31,104
1485504000,0.31,118
1485507600,0.31,126
1485511200,0,134
1485514800,0.12,135
1485518400,0.54,131
1485522000,0.15,132
1485525600,0.16,136
1485529200,0.21,153
1485532800,0.16,148
1485536400,0.04,135
1485540000,0.21,146
1485543600,0.15,154
1485547200,0.12,171
1485550800,0.05,192
1485554400,0.05,155
1485558000,0.12,168
1485561600,0.18,177
1485565200,0.06,151
1485568800,0.06,185
1485572400,0,128
1485576000,0.03,146
1485579600,0.13,139
1485583200,0.13,155
1485586800,0,142
1485590400,0.02,152
1485594000,0.05,137
1485597600,0.07,145
1485601200,0.05,141
1485604800,0.13,152
1485608400,0,133
1485612000,0,159
1485615600,0,173
1485619200,0,146
1485622800,0,143
1485626400,0.19,158
1485630000,0.03,167
1485633600,0,172
1485637200,0.06,166
1485640800,0.06,173
1485644400,0.03,163
1485648000,0.15,169
1485651600,0.03,168
1485655200,0.06,163
1485658800,0,167
1485662400,0.02,163
1485666000,0,140
1485669600,0.13,152
1485673200,0,147
1485676800,0,157
1485680400,0.05,144
1485684000,0.05,164
1485687600,0.03,145
1485691200,0.11,142
1485694800,0,154
1485698400,0.11,159
1485702000,0,162
1485705600,0,152
1485709200,0,153
1485712800,0.15,167
1485716400,0.07,165
1485720000,0.31,174
1485730800,0.31,174
1485734400,1,172
1485756000,1,214
1485774000,0.31,13
1485777600,0.8,352
1485792000,0.31,26
1485795600,0.1,6
1485799200,0.41,355
1485802800,0.07,359
1485806400,0.26,352
1485810000,0.18,359
1485813600,0.18,355
1485817200,0.31,354
1485820800,0.73,348
1485824400,0.31,350
1485828000,0.31,339
1485831600,0.31,340
1485835200,0.31,353
1485842400,1,3
1485846000,0.31,355
1485853200,0.31,351
1485856800,0.31,341
1485864000,1,346
1485871200,0.31,349
1485874800,0,350
1485878400,0.11,347
1485882000,0.18,346
1485885600,0.36,342
1485889200,0.07,349
1485892800,0.11,348
1485896400,0.22,341
1485900000,0.18,355
1485903600,0.16,353
1485907200,0.12,343
1485910800,0.12,343
1485914400,0.12,341
1485918000,0.2,354
1485921600,0.18,350
1485925200,0.06,353
1485928800,0.15,357
1485932400,0.18,1
1485936000,0.12,22
1485939600,0.11,22
1485943200,0,12
1485946800,0.03,19
1485950400,0,7
1485954000,0,3
1485957600,0,5
1485961200,0,18
1485964800,0,359
1485968400,0,13
1485972000,0.05,15
1485975600,0.12,22
1485979200,0.12,25
1485982800,0.05,22
1485986400,0.09,37
1485990000,0.09,58
1485993600,0.15,64
1485997200,0,64
1486000800,0.06,84
1486004400,0.05,70
1486008000,0.05,74
1486011600,0.05,71
1486015200,0.05,71
1486018800,0.07,57
1486022400,0.07,44
1486026000,0.08,47
1486029600,0.06,49
1486033200,0.05,45
1486036800,0.05,22
1486040400,0,35
1486044000,0,22
1486047600,0,29
1486051200,0,46
1486054800,0,42
1486058400,0.18,34
1486062000,0,41
1486065600,0,73
1486069200,0.11,63
1486072800,0.03,78
1486076400,0.06,85
1486080000,0.2,81
1486083600,0.12,90
1486087200,0.11,101
1486090800,0.07,101
1486094400,0.17,112
1486098000,0.09,118
1486101600,1,167
1486116000,0.31,22
1486119600,0.31,14
1486123200,0.82,34
1486144800,0.82,29
1486152000,0.31,358
1486166400,1,75
1486188000,1,138
1486209600,1,151
1486231200,1,210
1486252800,1,175
1486270800,0.31,171
1486274400,1,179
1486288800,0.31,191
1486292400,0.31,189
1486296000,0.63,178
1486299600,0.09,166
1486303200,0.31,166
1486317600,0.63,162
1486339200,1,14
1486360800,1,346
1486382400,1,9
1486400400,0.31,146
1486404000,1,167
1486418400,0.31,190
1486422000,0.31,185
1486425600,0.56,180
1486429200,0.15,170
1486432800,0.17,167
1486436400,0.17,173
1486440000,0.19,168
1486443600,0.31,181
1486447200,0.4,185
1486454400,0.31,171
1486458000,0,164
1486461600,0.17,159
1486465200,0,101
1486468800,0.38,53
1486472400,0,24
1486476000,0.17,350
1486479600,0.03,8
1486483200,0.08,358
1486486800,0.15,356
1486490400,0.19,0
1486494000,0.15,1
1486497600,0.1,359
1486501200,0.1,354
1486504800,0.18,357
1486508400,0.31,355
1486512000,0.4,1
1486515600,0.31,5
1486522800,0,5
1486530000,0.31,72
1486533600,1,96
1486555200,1,319
1486566000,0.31,11
1486569600,0.31,30
1486576800,1,21
1486598400,1,2
1486620000,1,151
1486641600,1,163
